index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 18:51:24,123.0611,4107.0,string,4096
7,Sun Jun 11 2023 18:52:48,228.4905,4107.0,string,4096
14,Sun Jun 11 2023 18:57:26,1232.2942,4107.0,string,4096
21,Sun Jun 11 2023 18:59:28,292.8632,4107.0,string,4096
28,Sun Jun 11 2023 19:00:11,260.4829,4107.0,string,4096
63,Sun Jun 11 2023 19:51:50,1372.3607,4107.0,string,4096
70,Sun Jun 11 2023 19:52:37,218.0961,4107.0,string,4096
77,Sun Jun 11 2023 19:53:55,216.333,4107.0,string,4096
84,Sun Jun 11 2023 19:54:35,285.317,4107.0,string,4096
91,Sun Jun 11 2023 19:55:16,53.5073,4107.0,string,4096
98,Sun Jun 11 2023 19:55:57,264.7394,4107.0,string,4096
105,Sun Jun 11 2023 19:56:44,131.3505,4107.0,string,4096
112,Sun Jun 11 2023 19:58:01,216.486,4107.0,string,4096
119,Sun Jun 11 2023 19:58:42,264.4063,4107.0,string,4096
126,Sun Jun 11 2023 19:59:22,48.4613,4107.0,string,4096
133,Sun Jun 11 2023 20:00:04,243.722,4107.0,string,4096
140,Sun Jun 18 2023 19:35:44,130.1764,4107.0,string,4096
147,Sun Jun 18 2023 19:35:55,394.8305,4107.0,string,4096
154,Sun Jun 18 2023 19:36:24,38.8452,4107.0,string,4096
161,Sun Jun 18 2023 19:36:36,224.1255,4107.0,string,4096
168,Sun Jun 18 2023 19:36:48,236.8921,4107.0,string,4096
203,Sun Jun 11 2023 21:45:25,3663.5286,4107.0,string,4096
210,Sun Jun 11 2023 21:55:27,123.4615,4107.0,string,4096
245,Thu Jun 15 2023 23:59:13,123.4659,4107.0,string,4096
252,Fri Jun 16 2023 00:00:49,33.6785,4107.0,string,4096
259,Fri Jun 16 2023 00:11:47,3497.3674,4107.0,string,4096
273,Fri Jun 16 2023 00:17:06,107.0271,4107.0,string,4096
280,Fri Jun 16 2023 00:22:06,122.9847,4107.0,string,4096
301,Fri Jun 16 2023 00:34:08,44.1934,4107.0,string,4096
308,Fri Jun 16 2023 00:34:25,51.9371,4107.0,string,4096
315,Fri Jun 16 2023 00:40:58,134.2533,4107.0,string,4096
322,Fri Jun 16 2023 00:41:58,76.3126,4107.0,string,4096
329,Fri Jun 16 2023 00:45:27,79.982,4107.0,string,4096
336,Fri Jun 16 2023 00:56:24,44.7254,4107.0,string,4096
343,Fri Jun 16 2023 00:57:10,51.153,4107.0,string,4096
350,Fri Jun 16 2023 01:00:53,130.1731,4107.0,string,4096
364,Fri Jun 16 2023 01:08:08,1510.5257,4107.0,string,4096
371,Fri Jun 16 2023 01:14:17,246.7788,4107.0,string,4096
385,Sun Jun 18 2023 19:37:13,140.1591,4107.0,string,4096
420,Mon Jun 12 2023 22:43:57,10806.752,4107.0,string,4096
427,Mon Jun 12 2023 22:44:56,56.072,4107.0,string,4096
441,Mon Jun 12 2023 22:53:02,59.7559,4107.0,string,4096
448,Mon Jun 12 2023 22:55:40,132.7688,4107.0,string,4096
462,Tue Jun 13 2023 00:36:32,950.4655,4107.0,string,4096
469,Tue Jun 13 2023 00:37:11,55.0932,4107.0,string,4096
490,Sun Jun 18 2023 21:27:08,119.3776,4107.0,string,4096
497,Sun Jun 18 2023 21:27:21,298.5829,4107.0,string,4096
518,Sun Jun 18 2023 22:03:54,43.9598,4107.0,string,4096
525,Sun Jun 11 2023 22:53:54,122.7218,4107.0,string,4096
560,Mon Jun 12 2023 23:11:08,128.4211,4107.0,string,4096
581,Mon Jun 12 2023 23:31:56,43.667,4107.0,string,4096
588,Mon Jun 12 2023 23:49:52,36.0781,4107.0,string,4096
595,Fri Jun 16 2023 01:29:59,121.1899,4107.0,string,4096
609,Fri Jun 16 2023 01:39:31,1110.7979,4107.0,string,4096
616,Fri Jun 16 2023 01:40:36,305.5796,4107.0,string,4096
630,Sun Jun 18 2023 20:32:44,120.3928,4107.0,string,4096
1,Sun Jun 11 2023 18:51:25,121.8269,16398.0,string,16384
8,Sun Jun 11 2023 18:52:48,199.0266,16398.0,string,16384
15,Sun Jun 11 2023 18:57:26,37.2397,16398.0,string,16384
22,Sun Jun 11 2023 18:59:28,183.8625,16398.0,string,16384
29,Sun Jun 11 2023 19:00:11,171.6459,16398.0,string,16384
64,Sun Jun 11 2023 19:51:50,158.0577,16398.0,string,16384
71,Sun Jun 11 2023 19:52:37,153.1019,16398.0,string,16384
78,Sun Jun 11 2023 19:53:55,169.4949,16398.0,string,16384
85,Sun Jun 11 2023 19:54:35,201.9213,16398.0,string,16384
92,Sun Jun 11 2023 19:55:16,42.9771,16398.0,string,16384
99,Sun Jun 11 2023 19:55:57,171.6365,16398.0,string,16384
106,Sun Jun 11 2023 19:56:44,123.2479,16398.0,string,16384
113,Sun Jun 11 2023 19:58:01,194.5074,16398.0,string,16384
120,Sun Jun 11 2023 19:58:42,162.3671,16398.0,string,16384
