index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 18:51:25,158.4446,4107.0,string,4096
7,Sun Jun 11 2023 18:52:10,4773.9155,4107.0,string,4096
14,Sun Jun 11 2023 18:52:48,229.3118,4107.0,string,4096
28,Sun Jun 11 2023 19:00:11,250.9867,4107.0,string,4096
35,Sun Jun 11 2023 19:04:56,166.8995,4107.0,string,4096
42,Sun Jun 11 2023 19:15:33,44.8794,4107.0,string,4096
49,Sun Jun 11 2023 19:25:28,34.8934,4107.0,string,4096
56,Sun Jun 11 2023 19:34:45,292.8137,4107.0,string,4096
63,Sun Jun 11 2023 19:51:50,1308.2954,4107.0,string,4096
70,Sun Jun 11 2023 19:52:37,165.3548,4107.0,string,4096
77,Sun Jun 11 2023 19:53:16,47.1682,4107.0,string,4096
84,Sun Jun 11 2023 19:53:55,235.3899,4107.0,string,4096
91,Sun Jun 11 2023 19:54:35,280.9634,4107.0,string,4096
98,Sun Jun 11 2023 19:55:57,252.3603,4107.0,string,4096
105,Sun Jun 11 2023 19:56:44,165.9913,4107.0,string,4096
112,Sun Jun 11 2023 19:57:22,64.0125,4107.0,string,4096
119,Sun Jun 11 2023 19:58:01,206.1672,4107.0,string,4096
126,Sun Jun 11 2023 19:58:42,264.7846,4107.0,string,4096
133,Sun Jun 11 2023 20:00:04,227.4259,4107.0,string,4096
140,Sun Jun 18 2023 19:35:44,155.0537,4107.0,string,4096
147,Sun Jun 18 2023 19:35:55,382.9628,4107.0,string,4096
154,Sun Jun 18 2023 19:36:06,201.1766,4107.0,string,4096
161,Sun Jun 18 2023 19:36:24,226.2686,4107.0,string,4096
168,Sun Jun 18 2023 19:36:36,222.6238,4107.0,string,4096
175,Sun Jun 11 2023 20:56:21,154.5781,4107.0,string,4096
182,Sun Jun 11 2023 21:05:34,31.6776,4107.0,string,4096
189,Sun Jun 11 2023 21:15:33,1862.3753,4107.0,string,4096
