index,Retrieval Time (ms),Size (Bytes)
0,158.4446,4096
7,4773.9155,4096
14,229.3118,4096
28,250.9867,4096
35,166.8995,4096
42,44.8794,4096
49,34.8934,4096
56,292.8137,4096
63,1308.2954,4096
70,165.3548,4096
77,47.1682,4096
84,235.3899,4096
91,280.9634,4096
98,252.3603,4096
105,165.9913,4096
112,64.0125,4096
119,206.1672,4096
126,264.7846,4096
133,227.4259,4096
140,155.0537,4096
147,382.9628,4096
154,201.1766,4096
161,226.2686,4096
168,222.6238,4096
1,156.7623,16384
8,158.6111,16384
15,192.0462,16384
22,171.7453,16384
29,184.2823,16384
36,154.6711,16384
43,44.6291,16384
50,31.4647,16384
57,184.149,16384
64,159.5759,16384
71,154.8458,16384
78,48.0502,16384
85,148.9616,16384
92,203.2996,16384
99,176.2355,16384
106,153.3485,16384
113,52.6582,16384
120,194.2612,16384
127,161.1846,16384
134,147.1464,16384
141,153.5819,16384
148,147.3632,16384
155,151.4529,16384
162,149.0699,16384
169,151.0864,16384
2,233.2301,65536
9,217.0544,65536
16,319.743,65536
23,240.3693,65536
30,257.1761,65536
37,159.523,65536
44,65.6948,65536
51,42.1258,65536
58,183.7527,65536
65,236.0807,65536
72,157.4659,65536
79,65.5514,65536
86,229.1086,65536
93,170.9452,65536
100,167.7076,65536
107,77.814,65536
114,52.1468,65536
121,171.3325,65536
128,160.9852,65536
135,158.9041,65536
142,234.049,65536
149,212.2995,65536
156,242.7896,65536
163,148.7016,65536
170,229.5165,65536
3,306.7343,262144
10,262.5428,262144
17,656.3073,262144
24,315.4181,262144
31,321.6438,262144
38,173.2836,262144
45,85.827,262144
52,55.4019,262144
59,204.0738,262144
66,307.087,262144
73,207.8539,262144
80,88.4724,262144
87,315.4465,262144
94,216.5323,262144
101,184.6176,262144
108,167.3367,262144
115,65.9993,262144
122,195.4866,262144
129,183.7214,262144
136,190.6356,262144
143,307.6118,262144
150,317.6862,262144
157,554.5736,262144
164,260.4492,262144
171,314.5499,262144
4,350.3085,1048576
11,279.6964,1048576
18,1407.2542,1048576
25,372.1811,1048576
32,325.1531,1048576
39,221.2558,1048576
46,111.9165,1048576
53,75.9171,1048576
60,214.2904,1048576
67,348.1581,1048576
74,199.0569,1048576
81,101.4003,1048576
88,211.8006,1048576
95,204.1839,1048576
102,242.8371,1048576
109,120.5579,1048576
116,113.5987,1048576
123,158.3989,1048576
130,184.9751,1048576
137,243.4167,1048576
144,379.0771,1048576
151,307.2999,1048576
158,1257.6189,1048576
165,380.9188,1048576
172,303.9653,1048576
5,506.393,4194304
12,422.4391,4194304
19,3076.9853,4194304
26,452.8758,4194304
33,609.9408,4194304
40,473.5709,4194304
47,210.8855,4194304
54,219.1993,4194304
61,485.9715,4194304
68,497.9049,4194304
75,396.1031,4194304
82,222.8171,4194304
89,644.6323,4194304
96,394.6696,4194304
103,465.5283,4194304
110,298.8096,4194304
117,332.8506,4194304
124,506.923,4194304
131,584.5374,4194304
138,585.9069,4194304
145,475.6482,4194304
152,465.698,4194304
159,2653.3976,4194304
166,1143.1797,4194304
173,609.5174,4194304
6,1163.1128,16777216
13,1106.3274,16777216
20,9522.8106,16777216
27,1331.3455,16777216
34,1603.9665,16777216
41,2290.1537,16777216
48,3571.0796,16777216
55,708.9647,16777216
62,1662.4096,16777216
69,1313.0782,16777216
76,1414.3638,16777216
83,689.9472,16777216
90,1336.5128,16777216
97,1359.5914,16777216
104,1838.1354,16777216
111,1170.3108,16777216
118,890.5732,16777216
125,2333.8746,16777216
132,1595.3598,16777216
139,1689.3448,16777216
146,1209.9336,16777216
153,1532.8132,16777216
160,5182.7243,16777216
167,3376.3245,16777216
174,1360.786,16777216
