index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
49,Mon Jun 19 2023 19:27:00,3102.023,4107.0,string,4096
63,Wed Jun 21 2023 00:51:56,13927.6691,4107.0,string,4096
161,Mon Jun 19 2023 18:27:00,3180.6662,4107.0,string,4096
168,Tue Jun 20 2023 23:51:56,14002.9318,4107.0,string,4096
315,Wed Jun 21 2023 01:47:32,2558.9347,4107.0,string,4096
267,Mon Jun 19 2023 19:19:16,11669.7523,16398.0,string,16384
254,Mon Jun 19 2023 19:11:38,15720.9223,65550.0,string,65536
282,Wed Jun 21 2023 00:49:19,28581.135,65550.0,string,65536
289,Wed Jun 21 2023 01:00:15,8358.8249,65550.0,string,65536
317,Wed Jun 21 2023 01:47:46,11564.9573,65550.0,string,65536
11,Mon Jun 19 2023 19:01:44,14347.5159,1048832.0,string,1048576
124,Mon Jun 19 2023 18:01:50,15665.6223,4195305.0,string,4194304
250,Mon Jun 19 2023 19:08:06,12819.9985,4195305.0,string,4194304
104,Wed Jun 21 2023 01:59:19,8644.3841,16781194.0,string,16777216
230,Mon Jun 19 2023 18:55:09,7884.6514,16781194.0,string,16777216
244,Mon Jun 19 2023 19:02:27,7824.9505,16781194.0,string,16777216
335,Wed Jun 21 2023 02:03:48,16401.1859,16781194.0,string,16777216
