index,Retrieval Time (ms),Size (Bytes)
0,122.7218,4096
35,128.4211,4096
56,43.667,4096
63,36.0781,4096
70,121.1899,4096
105,120.3928,4096
1,121.011,16384
36,466.1929,16384
71,119.6802,16384
106,121.6911,16384
37,1422.3229,65536
72,1363.4471,65536
79,44.2011,65536
86,1303.8032,65536
107,184.6303,65536
38,1829.2638,262144
73,1345.4116,262144
87,1250.0747,262144
39,1675.8556,1048576
74,1634.4858,1048576
88,1280.3701,1048576
102,1313.1463,1048576
40,2218.9977,4194304
75,574.1331,4194304
89,1443.1563,4194304
103,1597.2843,4194304
41,1429.3977,16777216
90,1621.9755,16777216
104,1342.9786,16777216
