index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 19:52:10,4725.0363,4107.0,string,4096
14,Sun Jun 11 2023 19:57:29,3703.2178,4107.0,string,4096
35,Sun Jun 11 2023 20:14:57,4899.9938,4107.0,string,4096
42,Sun Jun 11 2023 20:24:51,3573.9638,4107.0,string,4096
189,Sun Jun 11 2023 18:57:26,1232.2942,4107.0,string,4096
238,Sun Jun 11 2023 19:51:50,1372.3607,4107.0,string,4096
357,Sun Jun 11 2023 18:52:10,5408.4445,4107.0,string,4096
532,Sun Jun 11 2023 18:52:10,4762.4791,4107.0,string,4096
707,Sun Jun 11 2023 18:52:10,4773.9155,4107.0,string,4096
763,Sun Jun 11 2023 19:51:50,1308.2954,4107.0,string,4096
875,Sun Jun 11 2023 18:51:26,1954.8865,4107.0,string,4096
882,Sun Jun 11 2023 18:52:10,4784.0274,4107.0,string,4096
1050,Sun Jun 11 2023 22:05:37,3078.7536,4107.0,string,4096
1057,Sun Jun 11 2023 22:15:33,1817.9503,4107.0,string,4096
1064,Sun Jun 11 2023 22:25:31,3732.2852,4107.0,string,4096
1078,Sun Jun 11 2023 22:45:25,3629.593,4107.0,string,4096
1085,Sun Jun 11 2023 23:04:03,1551.0897,4107.0,string,4096
1092,Sun Jun 11 2023 23:14:05,5819.6734,4107.0,string,4096
1106,Sun Jun 11 2023 23:34:37,4234.7598,4107.0,string,4096
1113,Sun Jun 11 2023 23:43:50,1588.0865,4107.0,string,4096
1127,Fri Jun 16 2023 01:11:47,3597.6981,4107.0,string,4096
1148,Fri Jun 16 2023 01:17:50,4021.6706,4107.0,string,4096
1169,Fri Jun 16 2023 01:30:41,4167.0482,4107.0,string,4096
1183,Fri Jun 16 2023 01:34:30,5172.6132,4107.0,string,4096
1204,Fri Jun 16 2023 01:55:39,4809.2736,4107.0,string,4096
1232,Fri Jun 16 2023 02:08:08,1442.9673,4107.0,string,4096
1267,Sun Jun 18 2023 20:54:54,5118.853,4107.0,string,4096
1274,Sun Jun 18 2023 21:04:57,1268.1515,4107.0,string,4096
1323,Sun Jun 11 2023 21:45:25,3663.5286,4107.0,string,4096
1379,Fri Jun 16 2023 00:11:47,3497.3674,4107.0,string,4096
1484,Fri Jun 16 2023 01:08:08,1510.5257,4107.0,string,4096
1554,Sun Jun 11 2023 21:15:33,1890.7264,4107.0,string,4096
1561,Sun Jun 11 2023 21:25:31,3789.7789,4107.0,string,4096
1624,Fri Jun 16 2023 00:12:41,8551.516,4107.0,string,4096
1673,Fri Jun 16 2023 00:34:29,4414.9603,4107.0,string,4096
1722,Fri Jun 16 2023 01:02:36,1105.2377,4107.0,string,4096
1799,Sun Jun 11 2023 21:25:31,3777.9701,4107.0,string,4096
1813,Sun Jun 11 2023 21:45:25,3676.7609,4107.0,string,4096
1918,Fri Jun 16 2023 00:34:30,5235.8234,4107.0,string,4096
1939,Fri Jun 16 2023 00:55:38,4140.5326,4107.0,string,4096
1967,Fri Jun 16 2023 01:08:08,1497.3936,4107.0,string,4096
2009,Sun Jun 18 2023 20:04:56,1091.2638,4107.0,string,4096
2044,Sun Jun 11 2023 21:15:33,1862.3753,4107.0,string,4096
2051,Sun Jun 11 2023 21:25:31,3780.205,4107.0,string,4096
2219,Fri Jun 16 2023 01:08:08,1474.3336,4107.0,string,4096
2415,Fri Jun 16 2023 00:41:39,1162.0741,4107.0,string,4096
2450,Fri Jun 16 2023 01:00:54,1407.1781,4107.0,string,4096
2506,Sun Jun 18 2023 20:04:18,2898.114,4107.0,string,4096
