index,Retrieval Time (ms),Size (Bytes)
28,3663.5286,4096
35,123.4615,4096
70,123.4659,4096
77,33.6785,4096
84,3497.3674,4096
98,107.0271,4096
105,122.9847,4096
126,44.1934,4096
133,51.9371,4096
140,134.2533,4096
147,76.3126,4096
154,79.982,4096
161,44.7254,4096
168,51.153,4096
175,130.1731,4096
189,1510.5257,4096
196,246.7788,4096
210,140.1591,4096
29,174.5088,16384
36,125.7119,16384
71,119.1505,16384
78,28.6025,16384
85,32.9483,16384
106,123.7264,16384
120,56.2157,16384
127,42.4944,16384
134,43.6377,16384
141,1138.4494,16384
148,37.4491,16384
162,2182.8654,16384
176,131.0218,16384
190,33.8394,16384
197,129.1263,16384
211,118.6395,16384
30,3269.4444,65536
37,291.0234,65536
72,2571.3857,65536
79,44.7117,65536
86,50.218,65536
93,1392.4745,65536
107,1281.6391,65536
114,43.5671,65536
121,46.0938,65536
128,1298.7121,65536
142,506.2778,65536
149,46.2261,65536
163,2657.4526,65536
177,2423.582,65536
191,46.802,65536
198,185.6812,65536
31,304.8831,262144
73,1347.0682,262144
80,1595.1678,262144
87,3402.3408,262144
94,62.7141,262144
101,95.8427,262144
108,1431.9877,262144
115,62.2658,262144
122,53.102,262144
129,1147.5501,262144
143,1372.7224,262144
164,104.9771,262144
171,1260.5449,262144
178,1877.0602,262144
185,62.5529,262144
192,68.4334,262144
199,244.0872,262144
32,3423.9383,1048576
74,1636.2348,1048576
81,1389.8474,1048576
88,83.8897,1048576
95,69.6927,1048576
102,3920.5642,1048576
109,1525.5681,1048576
116,58.9675,1048576
123,2657.946,1048576
130,1558.2151,1048576
137,4116.712,1048576
144,1863.0507,1048576
151,1325.2757,1048576
165,274.3874,1048576
172,1208.5953,1048576
179,1746.1154,1048576
186,4572.5748,1048576
193,98.896,1048576
33,513.3509,4194304
75,173.4837,4194304
82,22407.7071,4194304
89,3308.4985,4194304
96,116.2774,4194304
103,139.0092,4194304
110,714.0205,4194304
117,141.9508,4194304
124,110.557,4194304
131,1245.1196,4194304
138,136.7447,4194304
145,1912.1877,4194304
152,147.832,4194304
173,1630.041,4194304
180,3422.8969,4194304
187,108.3069,4194304
194,1975.2195,4194304
201,3416.1153,4194304
27,9793.0357,16777216
34,6358.7673,16777216
76,432.2139,16777216
90,310.6641,16777216
97,391.4445,16777216
111,2359.6641,16777216
118,304.1552,16777216
125,404.3992,16777216
132,1463.5431,16777216
139,1230.6584,16777216
146,2315.728,16777216
153,332.5432,16777216
167,573.9668,16777216
174,1666.9346,16777216
181,2552.0315,16777216
195,373.3767,16777216
202,308.2095,16777216
