Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 20:56:21,144.3139,4107,string,4096
-,-,-
Sun Jun 11 2023 20:58:00,19092.0308,65550,string,65536
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 21:05:34,38.0006,4107,string,4096
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 21:10:55,848.3763,4195305,string,4194304
Sun Jun 11 2023 21:10:56,1392.4431,16781194,string,16777216
Sun Jun 11 2023 21:15:33,1890.7264,4107,string,4096
Sun Jun 11 2023 21:15:38,5047.8817,16398,string,16384
-,-,-
Sun Jun 11 2023 21:17:04,5306.7518,262158,string,262144
-,-,-
Sun Jun 11 2023 21:18:26,2177.3341,4195305,string,4194304
Sun Jun 11 2023 21:18:29,3140.5929,16781194,string,16777216
Sun Jun 11 2023 21:25:31,3789.7789,4107,string,4096
Sun Jun 11 2023 21:25:32,149.4256,16398,string,16384
Sun Jun 11 2023 21:25:35,2991.2379,65550,string,65536
Sun Jun 11 2023 21:25:35,307.5803,262158,string,262144
Sun Jun 11 2023 21:25:38,3168.0325,1048832,string,1048576
Sun Jun 11 2023 21:25:39,468.2266,4195305,string,4194304
Sun Jun 11 2023 21:25:46,7408.6756,16781194,string,16777216
Sun Jun 11 2023 21:35:25,50.7323,4107,string,4096
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 21:55:27,140.7087,4107,string,4096
Sun Jun 11 2023 21:55:27,141.9872,16398,string,16384
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 22:06:32,29803.3748,16398,string,16384
Sun Jun 11 2023 22:06:32,215.1955,65550,string,65536
Sun Jun 11 2023 22:06:32,278.8493,262158,string,262144
Sun Jun 11 2023 22:06:33,306.1237,1048832,string,1048576
Sun Jun 11 2023 22:06:33,409.7824,4195305,string,4194304
Sun Jun 11 2023 22:06:34,952.2134,16781194,string,16777216
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 22:23:55,33.9452,4107,string,4096
Sun Jun 11 2023 22:23:58,3056.8850,16398,string,16384
Sun Jun 11 2023 22:24:10,11183.7023,65550,string,65536
Sun Jun 11 2023 22:25:18,28141.0332,262158,string,262144
Sun Jun 11 2023 22:25:18,319.0434,1048832,string,1048576
Sun Jun 11 2023 22:25:26,7318.6267,4195305,string,4194304
Sun Jun 11 2023 22:25:27,1042.6360,16781194,string,16777216
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Thu Jun 15 2023 23:59:13,142.2284,4107,string,4096
Thu Jun 15 2023 23:59:13,140.1584,16398,string,16384
