index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
217,Sun Jun 11 2023 23:14:05,5819.6734,4107.0,string,4096
497,Sun Jun 18 2023 22:35:37,5784.9753,4107.0,string,4096
183,Sun Jun 11 2023 22:15:38,5038.2589,16398.0,string,16384
197,Sun Jun 11 2023 22:35:32,6866.9728,16398.0,string,16384
260,Fri Jun 16 2023 01:12:43,10072.6853,16398.0,string,16384
267,Fri Jun 16 2023 01:14:58,4226.3028,16398.0,string,16384
281,Fri Jun 16 2023 01:23:43,3075.8147,16398.0,string,16384
288,Fri Jun 16 2023 01:27:17,6221.5228,16398.0,string,16384
316,Fri Jun 16 2023 01:42:03,5016.2655,16398.0,string,16384
372,Fri Jun 16 2023 02:14:20,3976.9071,16398.0,string,16384
407,Sun Jun 18 2023 21:13:49,7143.9562,16398.0,string,16384
575,Tue Jun 13 2023 00:32:00,3505.89,16398.0,string,16384
596,Fri Jun 16 2023 02:31:10,4955.4295,16398.0,string,16384
603,Fri Jun 16 2023 02:35:24,4808.2155,16398.0,string,16384
219,Sun Jun 11 2023 23:15:30,5185.5928,65550.0,string,65536
233,Sun Jun 11 2023 23:34:42,4837.0972,65550.0,string,65536
275,Fri Jun 16 2023 01:19:14,4155.3388,65550.0,string,65536
310,Fri Jun 16 2023 01:35:15,5084.6002,65550.0,string,65536
331,Fri Jun 16 2023 01:55:44,4385.553,65550.0,string,65536
394,Sun Jun 18 2023 20:54:58,4300.7359,65550.0,string,65536
464,Tue Jun 13 2023 01:37:26,14766.2521,65550.0,string,65536
548,Mon Jun 12 2023 00:32:39,4266.7602,65550.0,string,65536
611,Fri Jun 16 2023 02:39:35,4034.5836,65550.0,string,65536
185,Sun Jun 11 2023 22:17:03,5293.0916,262158.0,string,262144
199,Sun Jun 11 2023 22:35:37,4627.3122,262158.0,string,262144
220,Sun Jun 11 2023 23:16:16,5255.4122,262158.0,string,262144
262,Fri Jun 16 2023 01:12:46,3242.6266,262158.0,string,262144
290,Fri Jun 16 2023 01:27:20,3290.0292,262158.0,string,262144
318,Fri Jun 16 2023 01:42:07,3146.8911,262158.0,string,262144
374,Fri Jun 16 2023 02:14:24,3621.8235,262158.0,string,262144
409,Sun Jun 18 2023 21:13:53,3624.2617,262158.0,string,262144
563,Tue Jun 13 2023 00:16:01,3658.5467,262158.0,string,262144
577,Tue Jun 13 2023 00:32:04,3173.7058,262158.0,string,262144
598,Fri Jun 16 2023 02:31:15,4414.4665,262158.0,string,262144
605,Fri Jun 16 2023 02:35:29,4535.8408,262158.0,string,262144
235,Sun Jun 11 2023 23:34:47,4693.4036,1048832.0,string,1048576
368,Fri Jun 16 2023 02:10:28,5071.6448,1048832.0,string,1048576
550,Mon Jun 12 2023 00:32:44,4797.458,1048832.0,string,1048576
201,Sun Jun 11 2023 22:35:42,4810.4542,4195305.0,string,4194304
222,Sun Jun 11 2023 23:17:41,5560.7014,4195305.0,string,4194304
229,Sun Jun 11 2023 23:25:25,7517.5448,4195305.0,string,4194304
250,Fri Jun 16 2023 01:03:55,21345.4043,4195305.0,string,4194304
264,Fri Jun 16 2023 01:12:52,4790.0634,4195305.0,string,4194304
579,Tue Jun 13 2023 00:32:09,4901.5706,4195305.0,string,4194304
593,Tue Jun 13 2023 00:51:20,7154.5204,4195305.0,string,4194304
600,Fri Jun 16 2023 02:31:21,5015.0618,4195305.0,string,4194304
621,Fri Jun 16 2023 02:43:35,14949.5801,4195305.0,string,4194304
13,Sun Jun 11 2023 19:53:03,9461.0407,16781194.0,string,16777216
174,Sun Jun 18 2023 20:37:01,7114.6863,16781194.0,string,16777216
195,Sun Jun 11 2023 22:25:46,7446.7617,16781194.0,string,16777216
209,Sun Jun 11 2023 22:45:39,6350.8308,16781194.0,string,16777216
356,Fri Jun 16 2023 02:02:51,6439.2105,16781194.0,string,16777216
