index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 19:52:10,4725.0363,4107.0,string,4096
7,Sun Jun 11 2023 19:52:48,184.9845,4107.0,string,4096
14,Sun Jun 11 2023 19:57:29,3703.2178,4107.0,string,4096
21,Sun Jun 11 2023 19:59:28,246.1762,4107.0,string,4096
28,Sun Jun 11 2023 20:00:11,210.5902,4107.0,string,4096
35,Sun Jun 11 2023 20:14:57,4899.9938,4107.0,string,4096
42,Sun Jun 11 2023 20:24:51,3573.9638,4107.0,string,4096
49,Sun Jun 11 2023 20:34:45,246.4952,4107.0,string,4096
56,Sun Jun 11 2023 20:44:43,221.0509,4107.0,string,4096
63,Sun Jun 11 2023 20:51:09,195.8107,4107.0,string,4096
70,Sun Jun 11 2023 20:53:16,197.3476,4107.0,string,4096
77,Sun Jun 11 2023 20:53:55,162.7865,4107.0,string,4096
84,Sun Jun 11 2023 20:54:35,242.4971,4107.0,string,4096
91,Sun Jun 11 2023 20:55:16,201.4495,4107.0,string,4096
98,Sun Jun 11 2023 20:55:57,212.7416,4107.0,string,4096
105,Sun Jun 11 2023 20:57:23,139.8162,4107.0,string,4096
112,Sun Jun 11 2023 20:58:01,176.9988,4107.0,string,4096
119,Sun Jun 11 2023 20:58:42,214.661,4107.0,string,4096
126,Sun Jun 11 2023 20:59:23,194.353,4107.0,string,4096
133,Sun Jun 11 2023 21:00:04,194.0748,4107.0,string,4096
140,Sun Jun 18 2023 20:35:55,343.4004,4107.0,string,4096
147,Sun Jun 18 2023 20:36:06,162.8688,4107.0,string,4096
154,Sun Jun 18 2023 20:36:24,189.5372,4107.0,string,4096
161,Sun Jun 18 2023 20:36:36,186.4719,4107.0,string,4096
168,Sun Jun 18 2023 20:36:48,195.3311,4107.0,string,4096
175,Sun Jun 11 2023 18:51:24,123.0611,4107.0,string,4096
182,Sun Jun 11 2023 18:52:48,228.4905,4107.0,string,4096
189,Sun Jun 11 2023 18:57:26,1232.2942,4107.0,string,4096
196,Sun Jun 11 2023 18:59:28,292.8632,4107.0,string,4096
203,Sun Jun 11 2023 19:00:11,260.4829,4107.0,string,4096
238,Sun Jun 11 2023 19:51:50,1372.3607,4107.0,string,4096
245,Sun Jun 11 2023 19:52:37,218.0961,4107.0,string,4096
252,Sun Jun 11 2023 19:53:55,216.333,4107.0,string,4096
259,Sun Jun 11 2023 19:54:35,285.317,4107.0,string,4096
266,Sun Jun 11 2023 19:55:16,53.5073,4107.0,string,4096
273,Sun Jun 11 2023 19:55:57,264.7394,4107.0,string,4096
280,Sun Jun 11 2023 19:56:44,131.3505,4107.0,string,4096
287,Sun Jun 11 2023 19:58:01,216.486,4107.0,string,4096
294,Sun Jun 11 2023 19:58:42,264.4063,4107.0,string,4096
301,Sun Jun 11 2023 19:59:22,48.4613,4107.0,string,4096
308,Sun Jun 11 2023 20:00:04,243.722,4107.0,string,4096
315,Sun Jun 18 2023 19:35:44,130.1764,4107.0,string,4096
322,Sun Jun 18 2023 19:35:55,394.8305,4107.0,string,4096
329,Sun Jun 18 2023 19:36:24,38.8452,4107.0,string,4096
336,Sun Jun 18 2023 19:36:36,224.1255,4107.0,string,4096
343,Sun Jun 18 2023 19:36:48,236.8921,4107.0,string,4096
350,Sun Jun 11 2023 18:51:25,144.0367,4107.0,string,4096
357,Sun Jun 11 2023 18:52:10,5408.4445,4107.0,string,4096
364,Sun Jun 11 2023 18:52:48,235.6302,4107.0,string,4096
371,Sun Jun 11 2023 18:59:28,288.568,4107.0,string,4096
385,Sun Jun 11 2023 19:04:56,176.4784,4107.0,string,4096
392,Sun Jun 11 2023 19:15:33,33.987,4107.0,string,4096
399,Sun Jun 11 2023 19:25:28,37.6584,4107.0,string,4096
406,Sun Jun 11 2023 19:44:43,250.6277,4107.0,string,4096
413,Sun Jun 11 2023 19:51:08,59.1537,4107.0,string,4096
420,Sun Jun 11 2023 19:52:37,157.6141,4107.0,string,4096
427,Sun Jun 11 2023 19:53:16,279.6085,4107.0,string,4096
434,Sun Jun 11 2023 19:53:55,45.7334,4107.0,string,4096
441,Sun Jun 11 2023 19:55:16,268.5367,4107.0,string,4096
448,Sun Jun 11 2023 19:55:56,82.6923,4107.0,string,4096
455,Sun Jun 11 2023 19:56:44,177.0696,4107.0,string,4096
462,Sun Jun 11 2023 19:57:23,232.4328,4107.0,string,4096
469,Sun Jun 11 2023 19:58:01,60.6434,4107.0,string,4096
476,Sun Jun 11 2023 19:59:23,282.6806,4107.0,string,4096
483,Sun Jun 11 2023 20:00:03,90.3933,4107.0,string,4096
490,Sun Jun 18 2023 19:35:44,146.0133,4107.0,string,4096
497,Sun Jun 18 2023 19:35:55,392.307,4107.0,string,4096
504,Sun Jun 18 2023 19:36:06,209.2169,4107.0,string,4096
511,Sun Jun 18 2023 19:36:36,227.0061,4107.0,string,4096
518,Sun Jun 18 2023 19:36:48,248.3807,4107.0,string,4096
525,Sun Jun 11 2023 18:51:25,145.5936,4107.0,string,4096
532,Sun Jun 11 2023 18:52:10,4762.4791,4107.0,string,4096
553,Sun Jun 11 2023 18:59:28,283.3544,4107.0,string,4096
560,Sun Jun 11 2023 19:04:56,143.9917,4107.0,string,4096
567,Sun Jun 11 2023 19:15:33,30.0419,4107.0,string,4096
574,Sun Jun 11 2023 19:25:28,40.7839,4107.0,string,4096
581,Sun Jun 11 2023 19:34:45,41.8364,4107.0,string,4096
588,Sun Jun 11 2023 19:44:43,195.3784,4107.0,string,4096
595,Sun Jun 11 2023 19:52:37,158.8621,4107.0,string,4096
602,Sun Jun 11 2023 19:53:16,243.4818,4107.0,string,4096
609,Sun Jun 11 2023 19:53:55,46.557,4107.0,string,4096
616,Sun Jun 11 2023 19:54:35,54.7752,4107.0,string,4096
623,Sun Jun 11 2023 19:55:16,238.4518,4107.0,string,4096
630,Sun Jun 11 2023 19:56:44,156.5274,4107.0,string,4096
637,Sun Jun 11 2023 19:57:23,193.8998,4107.0,string,4096
644,Sun Jun 11 2023 19:58:01,50.0507,4107.0,string,4096
651,Sun Jun 11 2023 19:58:41,54.5898,4107.0,string,4096
658,Sun Jun 11 2023 19:59:23,247.1958,4107.0,string,4096
665,Sun Jun 18 2023 19:35:44,143.4284,4107.0,string,4096
672,Sun Jun 18 2023 19:36:06,218.5775,4107.0,string,4096
679,Sun Jun 18 2023 19:36:24,251.6601,4107.0,string,4096
686,Sun Jun 18 2023 19:36:36,246.4546,4107.0,string,4096
693,Sun Jun 18 2023 19:36:48,261.608,4107.0,string,4096
700,Sun Jun 11 2023 18:51:25,158.4446,4107.0,string,4096
707,Sun Jun 11 2023 18:52:10,4773.9155,4107.0,string,4096
714,Sun Jun 11 2023 18:52:48,229.3118,4107.0,string,4096
728,Sun Jun 11 2023 19:00:11,250.9867,4107.0,string,4096
735,Sun Jun 11 2023 19:04:56,166.8995,4107.0,string,4096
742,Sun Jun 11 2023 19:15:33,44.8794,4107.0,string,4096
749,Sun Jun 11 2023 19:25:28,34.8934,4107.0,string,4096
756,Sun Jun 11 2023 19:34:45,292.8137,4107.0,string,4096
763,Sun Jun 11 2023 19:51:50,1308.2954,4107.0,string,4096
770,Sun Jun 11 2023 19:52:37,165.3548,4107.0,string,4096
777,Sun Jun 11 2023 19:53:16,47.1682,4107.0,string,4096
784,Sun Jun 11 2023 19:53:55,235.3899,4107.0,string,4096
791,Sun Jun 11 2023 19:54:35,280.9634,4107.0,string,4096
798,Sun Jun 11 2023 19:55:57,252.3603,4107.0,string,4096
805,Sun Jun 11 2023 19:56:44,165.9913,4107.0,string,4096
812,Sun Jun 11 2023 19:57:22,64.0125,4107.0,string,4096
819,Sun Jun 11 2023 19:58:01,206.1672,4107.0,string,4096
826,Sun Jun 11 2023 19:58:42,264.7846,4107.0,string,4096
833,Sun Jun 11 2023 20:00:04,227.4259,4107.0,string,4096
840,Sun Jun 18 2023 19:35:44,155.0537,4107.0,string,4096
847,Sun Jun 18 2023 19:35:55,382.9628,4107.0,string,4096
854,Sun Jun 18 2023 19:36:06,201.1766,4107.0,string,4096
861,Sun Jun 18 2023 19:36:24,226.2686,4107.0,string,4096
868,Sun Jun 18 2023 19:36:36,222.6238,4107.0,string,4096
875,Sun Jun 11 2023 18:51:26,1954.8865,4107.0,string,4096
882,Sun Jun 11 2023 18:52:10,4784.0274,4107.0,string,4096
896,Sun Jun 11 2023 18:59:28,291.3622,4107.0,string,4096
903,Sun Jun 11 2023 19:00:11,259.7864,4107.0,string,4096
910,Sun Jun 11 2023 19:04:56,145.6866,4107.0,string,4096
924,Sun Jun 11 2023 19:34:45,37.1519,4107.0,string,4096
931,Sun Jun 11 2023 19:44:43,245.6253,4107.0,string,4096
938,Sun Jun 11 2023 19:51:08,37.4751,4107.0,string,4096
945,Sun Jun 11 2023 19:52:37,154.5304,4107.0,string,4096
952,Sun Jun 11 2023 19:53:16,262.9456,4107.0,string,4096
959,Sun Jun 11 2023 19:54:35,42.3888,4107.0,string,4096
966,Sun Jun 11 2023 19:55:16,248.7321,4107.0,string,4096
973,Sun Jun 11 2023 19:55:56,37.0757,4107.0,string,4096
980,Sun Jun 11 2023 19:56:44,148.9611,4107.0,string,4096
987,Sun Jun 11 2023 19:57:23,208.8709,4107.0,string,4096
994,Sun Jun 11 2023 19:58:41,43.7226,4107.0,string,4096
1001,Sun Jun 11 2023 19:59:23,267.3268,4107.0,string,4096
1008,Sun Jun 11 2023 20:00:03,71.4834,4107.0,string,4096
1015,Sun Jun 18 2023 19:35:44,142.5869,4107.0,string,4096
1022,Sun Jun 18 2023 19:35:55,382.2474,4107.0,string,4096
1029,Sun Jun 18 2023 19:36:06,198.5767,4107.0,string,4096
1036,Sun Jun 18 2023 19:36:24,224.1431,4107.0,string,4096
1043,Sun Jun 18 2023 19:36:48,223.7741,4107.0,string,4096
1,Sun Jun 11 2023 19:52:10,155.2943,16398.0,string,16384
8,Sun Jun 11 2023 19:52:48,194.9631,16398.0,string,16384
15,Sun Jun 11 2023 19:57:29,158.7823,16398.0,string,16384
22,Sun Jun 11 2023 19:59:28,178.4796,16398.0,string,16384
